Metin,Durum,temiz_yorum,tahmin,dogru_mu
Fiyat performans oranı çok iyi elbette 400 oyun yok ama 40-50 civarı farklı oyun var ve hepsi eski atari oyunları tv’ye bağlanabiliyor üstelik,1,fiyat performans oranı iyi elbette 400 oyun yok 4050 civarı farklı oyun var eski atari oyunları tvye bağlanabiliyor üstelik,1,True
Çok iyi çıktı özenli paketleme için teşekkürler ayrıca çok beğendik çocukluğumuza geri döndük resmen çok keyifli oynaması televizyona da bağlanabiliniyor olması da çok iyi,1,iyi çıktı özenli paketleme teşekkürler ayrıca beğendik çocukluğumuza geri döndük resmen keyifli oynaması televizyona bağlanabiliniyor olması iyi,1,True
Çok şeker çocukluğuma götürdü beni ... Kendimize aldık ama çocuklar bırakmadı bize çok sevdik ailecek ...,1,şeker çocukluğuma götürdü beni kendimize aldık çocuklar bırakmadı bize sevdik ailecek,1,True
Oğluma almıştım ama eşimin elinden alamadığımız için bir tane daha almak zorunda kaldım çok güzel ama hassas kullanılması lazım malzemesi çok kaliteli değil,1,oğluma almıştım eşimin elinden alamadığımız bir tane almak zorunda kaldım güzel hassas kullanılması lazım malzemesi kaliteli değil,1,True
hızlı kargo güzel paketlenmiş. eski günlere yolculuk yapmış olduk kızımıza almıştık ama bize daha çok yaradı,1,hızlı kargo güzel paketlenmiş eski günlere yolculuk yapmış olduk kızımıza almıştık bize yaradı,1,True
Sırf mario oyunu için aldım gayet güzel bir sürü değişik oyun var çocukların sevebileceği bende arada mario oynuyorum ??,1,sırf mario oyunu aldım gayet güzel bir sürü değişik oyun var çocukların sevebileceği bende arada mario oynuyorum,1,True
Çok güzel bir ürün içinde gerçekten çok fazla oyun var çok uzun süre dayanacağını sanmıyorum ama televizyona bağlayıp atari gibi de oynayabiliyorsunuz sevgilime almıştım kendime de bir tane alacağım,1,güzel bir ürün içinde gerçekten fazla oyun var uzun süre dayanacağını sanmıyorum televizyona bağlayıp atari oynayabiliyorsunuz sevgilime almıştım kendime bir tane alacağım,1,True
Yorumları okuduğumda ürün çok küçük dediler yine de aldım ürün küçük değil ideal boyda ve çok güzel ???? eski günlerime döndüm,1,yorumları okuduğumda ürün küçük dediler yine aldım ürün küçük değil ideal boyda güzel eski günlerime döndüm,1,True
"Aşırı iyi, gece gündüz oynadım ilk aldığımda, şimdi bir duruldum ama elime alınca bile mutlu oluyorum. :)",1,aşırı iyi gece gündüz oynadım ilk aldığımda şimdi bir duruldum elime alınca bile mutlu oluyorum,1,True
Güzel eski zamanlardaki tetrislerden. Parasına göre güzel bir zaman geçirme aracı,1,güzel eski zamanlardaki tetrislerden parasına göre güzel bir zaman geçirme aracı,1,True
Ekranı biraz ufak. Fiyat performans olarak güzel bir ürün. Çocukluğunuza geri götürüyor.,1,ekranı biraz ufak fiyat performans olarak güzel bir ürün çocukluğunuza geri götürüyor,1,True
Fiyatı biraz yüksek gelebilir ama oynarken size tam anlamıyla nostalji yaşatacak,1,fiyatı biraz yüksek gelebilir oynarken size tam anlamıyla nostalji yaşatacak,1,True
Resimde görüldüğü gibi paketlemesi çok iyiydi iki günde elimde oldu teşekkürler,1,resimde görüldüğü paketlemesi iyiydi iki günde elimde oldu teşekkürler,1,True
cocukluguma geri dondum resmen. cocugunun elinden tableti alamayanlar kacirmasin,1,cocukluguma geri dondum resmen cocugunun elinden tableti alamayanlar kacirmasin,1,True
Mükemmel ya??resmen eskiye döndüm nostalji yaşamak isteyenler kaçırmayın bu fiyata??????marioooo??????,1,mükemmel yaresmen eskiye döndüm nostalji yaşamak isteyenler kaçırmayın fiyatamarioooo,1,True
"Yeğenime hediye aldım ve tam istediğim kırmızı renk geldi, sevdik güzel oyunlar var kullanımı rahat.",1,yeğenime hediye aldım tam istediğim kırmızı renk geldi sevdik güzel oyunlar var kullanımı rahat,1,True
Fiyatı çok uygun ve oynaması çok zevkli,1,fiyatı uygun oynaması zevkli,1,True
"İçindeki oyunlar inanılmaz, çocukluğunuza gidip çok mutlu olacaksınız. Ürün ufak avuç içi kdr. Dolaysıyla ekranda ama sorun değil bnce zaten uzun saatler oynanmaz.",1,içindeki oyunlar inanılmaz çocukluğunuza gidip mutlu olacaksınız ürün ufak avuç içi kdr dolaysıyla ekranda sorun değil bnce zaten uzun saatler oynanmaz,1,True
sadece 1 kez oynayabildik daha sonra ekran görüntüsü gitti ve bozuldu bu fiyata kaliteli ürün beklememek gerek iadeye verdim,0,sadece 1 oynayabildik sonra ekran görüntüsü gitti bozuldu fiyata kaliteli ürün beklememek gerek iadeye verdim,0,True
Çocukluğumun atari oyunlarını tekrar görüp oynayabilmek gözlerimi yaşarttı. Yine de malzeme kalitesi olarak daha iyi bir ürün bekliyordum. Tuşlar parmakları acıtıyor açıkçası ve malzeme dandik kullanılmış. Keşke kalitesi biraz daha iyi olmaydı. Yine de sevindirdi.,0,çocukluğumun atari oyunlarını tekrar görüp oynayabilmek gözlerimi yaşarttı yine malzeme kalitesi olarak iyi bir ürün bekliyordum tuşlar parmakları acıtıyor açıkçası malzeme dandik kullanılmış keşke kalitesi biraz iyi olmaydı yine sevindirdi,0,True
"Hızlı teslimat, özenli paketleme ???? çok kaliteli bir şey beklemeyin ses kalitesi kötü ama istediginiz kadar kısıp kapatabilirsiniz, şarjlı pili var bir süre kullanıp yorumu guncelleyecegim, baska sitelerde cok daha ucuza o nedenle iade",1,hızlı teslimat özenli paketleme kaliteli bir beklemeyin ses kalitesi kötü istediginiz kadar kısıp kapatabilirsiniz şarjlı pili var bir süre kullanıp yorumu guncelleyecegim baska sitelerde cok ucuza nedenle iade,0,False
"Plastiği aşırı kaliteli değil ama içindeki oyunlar, görüntü kalitesi, sesi gayet ama içinde tam 400 oyun yok bazılarının aynısı tekrar konularak 400 oyun yapılmış. Tuşları bazen geç algılıyor ama aşırı sorun olmadı benim için fiyatına göre çok iyi",0,plastiği aşırı kaliteli değil içindeki oyunlar görüntü kalitesi sesi gayet içinde tam 400 oyun yok bazılarının aynısı tekrar konularak 400 oyun yapılmış tuşları bazen geç algılıyor aşırı sorun olmadı benim fiyatına göre iyi,0,True
fiyatını biraz fazla buldum. Ayrıca şarjı çok çabuk bitiyor.,0,fiyatını biraz fazla buldum ayrıca şarjı çabuk bitiyor,0,True
Hem hediye hemde kendime aldım beğendim şuana kadar bir sorun yaşamadım başarılı ve eğlenceli bir ürün,1,hediye hemde kendime aldım beğendim şuana kadar bir sorun yaşamadım başarılı eğlenceli bir ürün,1,True
kargo hızlı bir şekilde geldi ve içinde 400 tane oyun olması çok güzel insanı geriye götürüyor herşeyi ile aynı yapmışlar,1,kargo hızlı bir şekilde geldi içinde 400 tane oyun olması güzel insanı geriye götürüyor herşeyi aynı yapmışlar,1,True
Urun siparis verdigim renk geldi ve cok guzel kaliteli bir urun. İyi ki de almisim cok ozlemisim bu oyunlari.,1,urun siparis verdigim renk geldi cok guzel kaliteli bir urun iyi almisim cok ozlemisim oyunlari,1,True
"İlk elime gelen ürün çalışmadı, bayiliği aradığımda hemen geri gönderin değişim yapalım dediler ve 2 gün gibi kısa bir sürede elime ulaştı. Hakan bey ve ekibine teşekkür ediyorum. Oyunları 90 kuşağından olanlar bilirler, çok zevkli, alınması tavsiye edilir:)",1,ilk elime gelen ürün çalışmadı bayiliği aradığımda hemen geri gönderin değişim yapalım dediler 2 gün kısa bir sürede elime ulaştı hakan bey ekibine teşekkür ediyorum oyunları 90 kuşağından olanlar bilirler zevkli alınması tavsiye edilir,1,True
Yapılabilecek en akıllı alışveriş. Küçücük ve bu kadar ucuz bir kutuya tüm çocukluğumuzu sığdırmışlar :),1,yapılabilecek akıllı alışveriş küçücük kadar ucuz bir kutuya çocukluğumuzu sığdırmışlar,0,False
Bayıldık yaaa resmen çocukluğuma geri döndüm. Ben oğluma diye aldim zaten o da çok begendi ama elinden bıraktığı zamanlarda alip süper Mario oynuyorum. kesinlikle tavsiye ederim.,1,bayıldık yaaa resmen çocukluğuma geri döndüm ben oğluma aldim zaten begendi elinden bıraktığı zamanlarda alip süper mario oynuyorum kesinlikle tavsiye ederim,1,True
çocukluğumuz oyunları yeğenime aldım. telefondan saçma sapan internet oyunları oynayacağını bu oyunları oynadın diye. o da çek sevdi ve oyun oynamak için de kimsenin telefonunu istemiyor,1,çocukluğumuz oyunları yeğenime aldım telefondan saçma sapan internet oyunları oynayacağını oyunları oynadın çek sevdi oyun oynamak kimsenin telefonunu istemiyor,1,True
Kızıma çocukluğumuzdaki oyunları oynasın diye almıştım fakat ben elimden düşüremiyorum ?? Eski sevdiğiniz bütün oyunlar var kesinlikle almalısınız.Şarjıda öle hemen bitmiyor ??,1,kızıma çocukluğumuzdaki oyunları oynasın almıştım fakat ben elimden düşüremiyorum eski sevdiğiniz bütün oyunlar var kesinlikle almalısınızşarjıda öle hemen bitmiyor,1,True
90’ların çocuklarını mutlu eden bir ürün. Atari salonlarındaki oyunlardan segaya kadar oynadığımız oyunları tekrar oynamak keyifli. Pratik bir ürün. Evet oyunu kaydetmiyor ama zaten çocukluğumuzdaki kadar da iddialı değiliz bence:) Arada kafa dağıtıp başka zaman oyuna baştan başlamak sorun değil.,1,90ların çocuklarını mutlu eden bir ürün atari salonlarındaki oyunlardan segaya kadar oynadığımız oyunları tekrar oynamak keyifli pratik bir ürün evet oyunu kaydetmiyor zaten çocukluğumuzdaki kadar iddialı değiliz bence arada kafa dağıtıp başka zaman oyuna baştan başlamak sorun değil,1,True
Sorun pil kapasitesini göremiyorsunuz bu yüzden de oynarken pili bitip bir an da kazanabiliyor,0,sorun pil kapasitesini göremiyorsunuz yüzden oynarken pili bitip bir an kazanabiliyor,0,True
Ürün kalitesi biraz düşük görünse de bu fiyat açısından çok normal. Çocukların ilgisini çekti ve bizi biraz olsun telefon bağımlılılığından kurtardığı için mutluyum. Tavsiye ederim,1,ürün kalitesi biraz düşük görünse fiyat açısından normal çocukların ilgisini çekti bizi biraz olsun telefon bağımlılılığından kurtardığı mutluyum tavsiye ederim,1,True
Efsane bir ürün çocukluğuma döndüm resmen stres atmak ve sırf mario için aldım kendime şiddetle tavsiye ederim,1,efsane bir ürün çocukluğuma döndüm resmen stres atmak sırf mario aldım kendime şiddetle tavsiye ederim,1,True
fiyatına göre çok kaliteli bir ürün görüntü kalitesi beklediğimden çok çok iyi beklediğimden küçük geldi boyut olarak ama çok beğendim,1,fiyatına göre kaliteli bir ürün görüntü kalitesi beklediğimden iyi beklediğimden küçük geldi boyut olarak beğendim,1,True
"Ürün çocukluğumu getirdi koydu avucumun içine . Dünyadaki en güzel oyuncak bence. Şarjlı olması oyunların kaliteli olması güzel. Mario , dr mario, islander, tank, excite bike, arkonoid say say bitmez. Her şey mükemmel. Seçtiğim renk gelseydi daha mükemmeldi ama yine de çok mutlu oldum",1,ürün çocukluğumu getirdi koydu avucumun içine dünyadaki güzel oyuncak bence şarjlı olması oyunların kaliteli olması güzel mario dr mario islander tank excite bike arkonoid say say bitmez mükemmel seçtiğim renk gelseydi mükemmeldi yine mutlu oldum,1,True
Uygun fiyatlı süper bir urun boyutu ideal satıcı ilgili alakalı elimizdeki milyarlarca liralık telefonlardan oyunlardan daha zevkli emin olun 500 oyunlu ve istediğim renk geldi tesekkurler başarılar,1,uygun fiyatlı süper bir urun boyutu ideal satıcı ilgili alakalı elimizdeki milyarlarca liralık telefonlardan oyunlardan zevkli emin olun 500 oyunlu istediğim renk geldi tesekkurler başarılar,1,True
Kardeşime doğum günü hediyesi aldım bayıldı elinden düşürmüyor geldiğinden beri. Yalnız kırmızı sipariş ettim siyah yollanmış.,1,kardeşime doğum günü hediyesi aldım bayıldı elinden düşürmüyor geldiğinden beri yalnız kırmızı sipariş ettim siyah yollanmış,1,True
"Küçük ama çok sevimli , 400 değil listede 500 oyun var :) şarj ederken ses çıkarıyor bu biraz ürkütücü :/",1,küçük sevimli 400 değil listede 500 oyun var şarj ederken ses çıkarıyor biraz ürkütücü,1,True
Dün geçti elime. Çocuklarla kavga ediyoruz sen oynuyacaksın ben oynayacağım diye :) biz çok sevdik. fiyatına göre iyi bir ürün.,1,dün geçti elime çocuklarla kavga ediyoruz sen oynuyacaksın ben oynayacağım sevdik fiyatına göre iyi bir ürün,1,True
"Kardeşime aldım çok sevindi , ee tabi bizide maziye götürmedi değil ;) güvenle alabilir çocukluğunuza yolculuk edebilirsiniz ??",1,kardeşime aldım sevindi ee tabi bizide maziye götürmedi değil güvenle alabilir çocukluğunuza yolculuk edebilirsiniz,1,True
"Atarileri çocukluğumdan beridir severim. Hazır indirim de bu fiyata bulmuşken aldim. 400 oyunluk bir atariyi kaçırmayın derim, çok güzel çıktı bendeki. Çokta memnunum. Rengi de istediğim gibi geldi. Problem yaşamadım :))",1,atarileri çocukluğumdan beridir severim hazır indirim fiyata bulmuşken aldim 400 oyunluk bir atariyi kaçırmayın derim güzel çıktı bendeki çokta memnunum rengi istediğim geldi problem yaşamadım,1,True
400 tane eski oyun var ve bence gayet güzel bir ürün her çocuğun elinde olmali saçma sapan videolar izleyeceklerine bu oyunları oynasınlar,1,400 tane eski oyun var bence gayet güzel bir ürün çocuğun elinde olmali saçma sapan videolar izleyeceklerine oyunları oynasınlar,1,True
Bayıldık valla arkadaşımın oğluna aldık beğenmezse ben oynarım çocukluk anılarımız saklı bu oyunlarda hep :),1,bayıldık valla arkadaşımın oğluna aldık beğenmezse ben oynarım çocukluk anılarımız saklı oyunlarda,1,True
Ekran kalitesi ve ses iyi. Şehir dışına çıkmam gerektiği için hemen kargolar mısınız diye mesaj attım. 1 saat içinde kargoya verdiler. 1 gün sonra geldi. Oyunların hepsini oynayamadık ama genel olarak iyi. İleride bozulmazsa bence çok iyi bir ürün.,1,ekran kalitesi ses iyi şehir dışına çıkmam gerektiği hemen kargolar mısınız mesaj attım 1 saat içinde kargoya verdiler 1 gün sonra geldi oyunların hepsini oynayamadık genel olarak iyi ileride bozulmazsa bence iyi bir ürün,1,True
Atari oldukca eglenceli özellikle televizyona bagladigimizda daha cok severek oynuyor cocuklarim almanizi tavsiye ederim??,1,atari oldukca eglenceli özellikle televizyona bagladigimizda cok severek oynuyor cocuklarim almanizi tavsiye ederim,1,True
tek kelimeyle bayildim??bekledigimden cok daha iyi geldi.tv ye baglanamabilmesi en guzel yanı.ancak baglanti kablosu cok kisa.uyumlu baska bir kablo ile desteklemeye calisicam.rahatlikla alabilirsiniz,1,tek kelimeyle bayildimbekledigimden cok iyi gelditv ye baglanamabilmesi guzel yanıancak baglanti kablosu cok kisauyumlu baska bir kablo desteklemeye calisicamrahatlikla alabilirsiniz,1,True
"Çok güzel ya yorumlara bakarak aldım. Çocuklar bayıldı. 500 oyun var diyor oğlum. Super Marionun serisi ve hatta çakma oyunları bile varmış. Eski atari ve comodor 64 oyunları var. Yanında gönderdikleri AV kabloyla TV ye dahi bağlanıyor. Bu kadar güzel olacağını bilemedim. İki kişilik oyunları tek kişi oynuyorsunuz. Android şarz girişli (telefonununuz şarj aletiyle şarj edebilirsiniz.)pili değiştirilebilir nokıa pil tipinden. Yorumlarda sesi kapatamıyoruz demişler ama kenarında ses açıp, kısma anahtarı mevcut onu görmemişler. Geniş ekranı çok güzel. Hiç düşünmeyin bayram hediyesi olarak çocuklara alınabilir.",1,güzel yorumlara bakarak aldım çocuklar bayıldı 500 oyun var diyor oğlum super marionun serisi hatta çakma oyunları bile varmış eski atari comodor 64 oyunları var yanında gönderdikleri av kabloyla tv ye dahi bağlanıyor kadar güzel olacağını bilemedim iki kişilik oyunları tek kişi oynuyorsunuz android şarz girişli telefonununuz şarj aletiyle şarj edebilirsinizpili değiştirilebilir nokıa pil tipinden yorumlarda sesi kapatamıyoruz demişler kenarında ses açıp kısma anahtarı mevcut onu görmemişler geniş ekranı güzel düşünmeyin bayram hediyesi olarak çocuklara alınabilir,1,True
kızımla çok severek oynuyoruz küçükken en sevdiğim oyundu şimdi tekrardan oynayabiliyorum çok mutluyum ??,1,kızımla severek oynuyoruz küçükken sevdiğim oyundu şimdi tekrardan oynayabiliyorum mutluyum,1,True
urun gayet portatif gercekten nostalji yasatiyor ogluma diye aldim ama esimin daha cok hosuna gitti tesekkurler,1,urun gayet portatif gercekten nostalji yasatiyor ogluma aldim esimin cok hosuna gitti tesekkurler,1,True
pek kaliteli bişeye benzemiyor dayanıklılığı az sanırım deneyip görücez ilk incelemeye göre içindeki oyunlar güzel.,0,pek kaliteli bişeye benzemiyor dayanıklılığı sanırım deneyip görücez ilk incelemeye göre içindeki oyunlar güzel,0,True
bayıldım ürüne. keşke yedek kumandalı olanı alsaydım ozan iki kişi oynayabilirdik. bir de ürünün ekranı biraz daha büyük olsaydı daha iyi olurdu.ama yine de çok güzel.,1,bayıldım ürüne keşke yedek kumandalı olanı alsaydım ozan iki kişi oynayabilirdik bir ürünün ekranı biraz büyük olsaydı iyi olurduama yine güzel,1,True
Bayıldımm. Evet boyut olarak göze ilk ufak geliyor fakat işlevini gördükten sonra bunu umursamıyorsunuz bile. Eskileri yaşadık sanki. O kadar güzel oyunlar var ki Harika. Hiçbir sıkıntı yaşanmadı tertemiz ve güzel kargolanmıştı.,1,bayıldımm evet boyut olarak göze ilk ufak geliyor fakat işlevini gördükten sonra bunu umursamıyorsunuz bile eskileri yaşadık kadar güzel oyunlar var harika hiçbir sıkıntı yaşanmadı tertemiz güzel kargolanmıştı,1,True
sadece oyundaki renk kalitesi biraz kötü ama bu fiyata gamebox bu kadar olur :) çocukluğuma döndürdü içindeki oyunlar harika,1,sadece oyundaki renk kalitesi biraz kötü fiyata gamebox kadar olur çocukluğuma döndürdü içindeki oyunlar harika,1,True
Çok güzel eski günlerimize döndük resmen.sadece daha büyük olsaymış iyi olurmuş..onun dışında harika..,1,güzel eski günlerimize döndük resmensadece büyük olsaymış iyi olurmuşonun dışında harika,1,True
"Daha 1-2 saattir kullanıyorum. Bu fiyata gayet kaliteli, eğlenceli bir konsol. Çocukluğuma döndüm resmen. Teşekkürler",1,12 saattir kullanıyorum fiyata gayet kaliteli eğlenceli bir konsol çocukluğuma döndüm resmen teşekkürler,1,True
Olumsuz yorum yazanlar yüzünden almasa mıydım dedim ama iyiki almışım iyikii içinde 500 tane oyun var ben çok beğendim,1,olumsuz yorum yazanlar yüzünden almasa mıydım dedim iyiki almışım iyikii içinde 500 tane oyun var ben beğendim,1,True
Nostaljinin dibi yakın arkadaşıma da sarısını aldım 3 arkadaş eski günlerde ki gibi mario oynayıp prenses kurtarmaya calısıyoruz. :) al al al,1,nostaljinin dibi yakın arkadaşıma sarısını aldım 3 arkadaş eski günlerde mario oynayıp prenses kurtarmaya calısıyoruz al al al,1,True
Ba yıl dımm.?? çocukluğuma döndüm resmen. . Oğluma aldım ben oynuyorum. Yalnız ben tv ye yada pc ye takamadım olmadı. Bir de şarjı çabuk bitiyor. yine de alın derim. eğlenceli.,1,ba yıl dımm çocukluğuma döndüm resmen oğluma aldım ben oynuyorum yalnız ben tv ye yada pc ye takamadım olmadı bir şarjı çabuk bitiyor yine alın derim eğlenceli,1,True
Beklediğim gibi. Sorunsuz ve hızlı şekilde ulaştı.Cihazı açtığımda listede 500 oyun gördüm. Tek tek saymadım fakat içerisinde 300 oyun var sanırım. Geri kalan 200 oyun tekrar eden aynı oyunlar gibi duruyor. 300 oyun gayet yeterli zaten. Küçükken oynadığım oyunları şimdi bir ''el atarisinde'' oynamak güzel bir his. Öneririm.,1,beklediğim sorunsuz hızlı şekilde ulaştıcihazı açtığımda listede 500 oyun gördüm tek tek saymadım fakat içerisinde 300 oyun var sanırım geri kalan 200 oyun tekrar eden aynı oyunlar duruyor 300 oyun gayet yeterli zaten küçükken oynadığım oyunları şimdi bir el atarisinde oynamak güzel bir his öneririm,1,True
"Çok eğlenceli, özlediğiniz bir çok oyun var içerisinde 100 ün üzerinde. Görüntü kalitesi sesi her şeyi çok kaliteli güzel geldi. Atari sevenlere tavsiye ederim",1,eğlenceli özlediğiniz bir oyun var içerisinde 100 ün üzerinde görüntü kalitesi sesi şeyi kaliteli güzel geldi atari sevenlere tavsiye ederim,1,True
gerçekten harika resmen çocukluğumu anımsattı. fiyatına göre mükemmel ötesi . şarj süper .gönül rahatligiyla alınacak bir ürün .3 aydır kullanıyoruz süper ötesi . indirimdeyken almıştım . bir tanede daha diğer oğluma alacagim,1,gerçekten harika resmen çocukluğumu anımsattı fiyatına göre mükemmel ötesi şarj süper gönül rahatligiyla alınacak bir ürün 3 aydır kullanıyoruz süper ötesi indirimdeyken almıştım bir tanede diğer oğluma alacagim,1,True
Ürün fiyatına göre oldukça verimli. Bütün eski oyunlar var.Sadece ses biraz cızırtılı çıkıyor o kadar da olsun derim.,1,ürün fiyatına göre oldukça verimli bütün eski oyunlar varsadece ses biraz cızırtılı çıkıyor kadar olsun derim,1,True
Ürünü arkadaşıma doğum günü hediyesi aldım ve bayıldııı nostaljik şeyleri sevenler için çok güzel bir hediye alternatifi kargo süreci de çok hızlıydı,1,ürünü arkadaşıma doğum günü hediyesi aldım bayıldııı nostaljik şeyleri sevenler güzel bir hediye alternatifi kargo süreci hızlıydı,1,True
Kardeşime hediye aldım. Tam bir nostalji bütün atari oyunları var . Fakat görüntü kalitesi çok kötü gözleri çok yoruyor.,0,kardeşime hediye aldım tam bir nostalji bütün atari oyunları var fakat görüntü kalitesi kötü gözleri yoruyor,1,False
Fiyat performans iyi. Atarideki cogu oyun var. Araya angry birds gibi yeni donem oyunlari da sıkıştırmışlar:),1,fiyat performans iyi atarideki cogu oyun var araya angry birds yeni donem oyunlari sıkıştırmışlar,1,True
Eskiyi hatırlatıyor birçok oyun var ama favorimiz süper mario. Bilgisayar ortamindan uzaklastirmak icin com Guzel bit secenek,1,eskiyi hatırlatıyor birçok oyun var favorimiz süper mario bilgisayar ortamindan uzaklastirmak icin com guzel bit secenek,1,True
"Çok eğlenceli:) gerçekten 500 oyun var birbirini tekrar eden oyunlar değil, ama tabi ki herkes gibi super mario için aldık:)",1,eğlenceli gerçekten 500 oyun var birbirini tekrar eden oyunlar değil tabi herkes super mario aldık,1,True
Çok tatlı bir ürün. Boyutu küçük fakat kullanım açısından daha kolay. İçerisinden bir adet batarya ve TV kablosu çıkıyor.,1,tatlı bir ürün boyutu küçük fakat kullanım açısından kolay içerisinden bir adet batarya tv kablosu çıkıyor,1,True
Çocuğuma telefon vermeden uzun yolculuklarda oyalanmasını sağlayacağıma eminim. İçerisndeki oyunlar fazlasıyla yeterli.,1,çocuğuma telefon vermeden uzun yolculuklarda oyalanmasını sağlayacağıma eminim içerisndeki oyunlar fazlasıyla yeterli,1,True
Çok iyi bir ürün. Ben böyle bir ürün olduğundan haberdar değildim. Hatta internette atari bakıyordum almak için. Bu çok daha kullanışlı. Çünkü bütün oyunlar hazır bir şekilde cihazın içinde. Televizyona da bağlayıp kullanılabilmesi harika bir özellik. Görüntü kalitesi oyunların kalitesinden dolayı elbette düşük. Fakat eskinin atari severleri bu ürünü beğeneceğinizi umuyorum:),1,iyi bir ürün ben böyle bir ürün olduğundan haberdar değildim hatta internette atari bakıyordum almak kullanışlı bütün oyunlar hazır bir şekilde cihazın içinde televizyona bağlayıp kullanılabilmesi harika bir özellik görüntü kalitesi oyunların kalitesinden dolayı elbette düşük fakat eskinin atari severleri ürünü beğeneceğinizi umuyorum,1,True
ürünü cok beğendik. sorunsuz arızasız geldi. Tv ye bağlayıp ordan mario oynuyoruz:) tavsiye ederim. ipadi olan cocuklar bırakıp bunu elinden dusurmedi:),1,ürünü cok beğendik sorunsuz arızasız geldi tv ye bağlayıp ordan mario oynuyoruz tavsiye ederim ipadi olan cocuklar bırakıp bunu elinden dusurmedi,1,True
Mario sevdalıları için çok iyi. Sesi tamamen kısılabiliyor. Şarjı biraz daha uzun gitse daha iyi olurdu tabi ki. Fiyat performans gayet başarılı,1,mario sevdalıları iyi sesi tamamen kısılabiliyor şarjı biraz uzun gitse iyi olurdu tabi fiyat performans gayet başarılı,1,True
"Cocukluguma dondum resmen , ozledıgım her oyun var eski kasetlerde de 1000000 in 1 yazardı ıcınde 100 oyun olurdu bu da oyle bu kural hiç şaşmaz :) bataryalı ve sarjı cabuk bitmiyor.",1,cocukluguma dondum resmen ozledıgım oyun var eski kasetlerde 1000000 in 1 yazardı ıcınde 100 oyun olurdu oyle kural şaşmaz bataryalı sarjı cabuk bitmiyor,1,True
Ürün görseldekinden biraz küçük ama çok eğlenceli yeğenlerim çok beğendi içindeki oyunlar falan cok güzel,1,ürün görseldekinden biraz küçük eğlenceli yeğenlerim beğendi içindeki oyunlar falan cok güzel,1,True
Çocuklar iyi vakit geçirmesi için ideal bir ürün tavsiye ediyorum fiyatına göre de çok iyi bu fiyatlara çok iyi birşey beklenmesi bence zaten tuhaf bir durum teşekkür ediyorum,1,çocuklar iyi vakit geçirmesi ideal bir ürün tavsiye ediyorum fiyatına göre iyi fiyatlara iyi beklenmesi bence zaten tuhaf bir durum teşekkür ediyorum,1,True
"Ürün çok güzel içindeki oyunları oynamak çok eğlenceli,ürünü dikkatli kullanıldığı zaman baya gider yani.Ama keşke şarjı biraz daha dayansaydı iyiydi ama yine de çok güzel",1,ürün güzel içindeki oyunları oynamak eğlenceliürünü dikkatli kullanıldığı zaman baya gider yaniama keşke şarjı biraz dayansaydı iyiydi yine güzel,1,True
Sırf süper mario oynamak için aldım:) güzel içinde bir sürü farklı oyun var..fiyati yüksekken almıştım şimdi indirimde görmek üzdü..,1,sırf süper mario oynamak aldım güzel içinde bir sürü farklı oyun varfiyati yüksekken almıştım şimdi indirimde görmek üzdü,1,True
Olumsuz yorum yazanlar yüzünden almasa mıydım dedim ama iyiki almışım iyikii içinde 500 tane oyun var ben çok beğendim,1,olumsuz yorum yazanlar yüzünden almasa mıydım dedim iyiki almışım iyikii içinde 500 tane oyun var ben beğendim,1,True
Çok güzel ama pek kaliteli bişeye benzemiyor dayanıklılığı az sanırım deneyip görücez ilk incelemeye göre içindeki oyunlar güzel.,0,güzel pek kaliteli bişeye benzemiyor dayanıklılığı sanırım deneyip görücez ilk incelemeye göre içindeki oyunlar güzel,0,True
kızımla çok severek oynuyoruz küçükken en sevdiğim oyundu şimdi tekrardan oynayabiliyorum çok mutluyum ??,1,kızımla severek oynuyoruz küçükken sevdiğim oyundu şimdi tekrardan oynayabiliyorum mutluyum,1,True
Harika bir ürün çocukluğuna götürüyor insanı teslimat gününde geldi hasarsız uşekilde elime ulaştı ses ayarıda var bazı yorumlarda yok yazmışlar ama var bayıldık biz ailecek,1,harika bir ürün çocukluğuna götürüyor insanı teslimat gününde geldi hasarsız uşekilde elime ulaştı ses ayarıda var yorumlarda yok yazmışlar var bayıldık ailecek,1,True
Cabuk ulasti elimize. Ablam da su an. Kendi elime alacagim gun icin sabirsizlaniyorum. Handheld konsol sevenler icin guzel bir parca oldugunu dusunuyorum.,1,cabuk ulasti elimize ablam su an kendi elime alacagim gun icin sabirsizlaniyorum handheld konsol sevenler icin guzel bir parca oldugunu dusunuyorum,1,True
urun gayet portatif gercekten nostalji yasatiyor ogluma diye aldim ama esimin daha cok hosuna gitti tesekkurler,1,urun gayet portatif gercekten nostalji yasatiyor ogluma aldim esimin cok hosuna gitti tesekkurler,1,True
tek kelimeyle bayildim??bekledigimden cok daha iyi geldi.tv ye baglanamabilmesi en guzel yanı.ancak baglanti kablosu cok kisa.uyumlu baska bir kablo ile desteklemeye calisicam.rahatlikla alabilirsiniz,1,tek kelimeyle bayildimbekledigimden cok iyi gelditv ye baglanamabilmesi guzel yanıancak baglanti kablosu cok kisauyumlu baska bir kablo desteklemeye calisicamrahatlikla alabilirsiniz,1,True
